ID,channel,activities_22,activities_21,activities_20,latest_activity,latest_hqa,HQAs_22,HQAs_21,HQAs_20,"('aum', 'Active Equity')","('aum', 'Active FI')","('aum', 'Alts')","('aum', 'Bond ETF')","('aum', 'Core Equity')","('aum', 'Factors')","('aum', 'MAS')","('aum', 'Market Driven/Precision')","('aum', 'Megatrends')","('aum', 'Models')","('aum', 'Sustainable')",mkt_emails_clicked 2020,mkt_emails_opened 2020,mkt_emails_sent 2020,mkt_emails_clicked 2021,mkt_emails_opened 2021,mkt_emails_sent 2021,mkt_emails_clicked 2022,mkt_emails_opened 2022,mkt_emails_sent 2022,"('events_attended', 2020)","('events_attended', 2021)","('events_attended', 2022)","('webinars_attended', 2020)","('webinars_attended', 2021)","('webinars_attended', 2022)","('web_visits', 2020)","('web_visits', 2021)","('web_visits', 2022)","('advisor_center_completes', 2020)","('advisor_center_completes', 2021)","('advisor_center_completes', 2022)","('total_ac_portfolios', 2020)","('total_ac_portfolios', 2021)","('total_ac_portfolios', 2022)"
51,uswa-emerging-wealth,6,20,24,4/8/22,6/16/21,0,3,4,37723.09,358608.805,0,0,0,0,182589.89,0,0,0,0,0,0,2,0,0,7,0,0,5,0,0,0,0,0,0,524,227,77,8,3,3,43,19,10
52,uswa-core-wealth,11,20,33,7/6/22,2/1/22,2,2,1,1258112.26,625146.59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,uswa-emerging-wealth,12,23,13,5/18/22,3/4/22,1,4,1,366100.635,4924716.415,12641.72,0,0,0,246591.095,0,0,1048935,0,0,0,1,0,0,7,0,0,7,0,0,0,0,0,0,12,20,25,2,2,2,1,0,0
54,uswa-core-wealth,18,32,19,6/29/22,2/8/22,1,3,0,1070789.05,2335442.57,7927.42,0,0,0,305652.87,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,uswa-emerging-wealth,2,4,5,6/23/22,9/17/21,0,1,0,41250.60323,849797.3491,0,0,6287.161221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,uswa-emerging-wealth,2,13,2,2/24/22,12/14/21,0,3,0,749390.43,68830.78,0,0,0,0,444125.97,0,0,0,0,0,0,1,0,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,uswa-emerging-wealth,6,3,4,3/30/22,4/3/19,0,0,0,0,9578.65,0,156844.76,1848141.95,5935.41,20075.255,169927.62,4430.96,0,11186.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,uswa-emerging-wealth,14,22,35,7/1/22,6/29/16,0,0,0,705081.92,514792.81,0,0,0,0,509.545,0,0,0,0,0,40,91,0,43,67,0,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,uswa-core-wealth,4,8,36,6/29/22,9/15/21,0,2,3,717727.2,422487.08,25518.06,244331.76,0,0,931798.22,279418.61,1116573.45,0,0,5,5,90,0,0,18,0,0,7,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
60,uswa-core-wealth,20,24,31,6/27/22,1/20/22,2,4,0,19487.31,70324.805,1029225.65,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,uswa-core-wealth,12,28,24,5/4/22,2/28/22,1,1,3,306571.12,995531.74,45212.13,0,0,0,217898.37,0,0,4067492,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,289,45,22,6,0,1,5,0,0
62,uswa-emerging-wealth,11,11,13,6/28/22,2/15/22,2,1,2,631728.515,270615.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,uswa-emerging-wealth,4,2,0,6/27/22,5/17/17,0,0,0,0,66992.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
64,uswa-emerging-wealth,25,28,14,7/6/22,11/27/18,0,0,0,409204.75,1000054.935,187339.385,0,0,0,106028.97,0,0,0,0,0,0,1,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,uswa-core-wealth,2,19,2,6/2/22,12/6/21,0,3,1,234134.42,989777.43,0,0,0,0,214932.62,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,uswa-core-wealth,12,26,17,6/29/22,3/6/19,0,0,0,3652979.09,11830.51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,uswa-core-wealth,13,13,21,6/29/22,3/6/20,0,0,2,1990830.13,19548.35,966058.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,uswa-emerging-wealth,15,22,29,6/30/22,7/12/19,0,0,0,0,241692.69,33365.64,0,0,0,68020.76,0,0,0,0,0,46,56,0,21,28,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
